Year,MfrName,CarLine,Car_Truck,EngDisp,Police,RatedHP,Transmission,Drive,Weight,Comp,AxleRatio,EVSpeedRatio,AC,PRP,FuelType,City_Highway,HC,CO,CO2,NOX,MPG,Valves_Cyl,CoastDownTime
2007,DaimlerChrysler,RAM 1500 PICKUP 2WD,truck,348,N,345,L5,R,3500,9.6,3.55,27.4,Y,32,61,highway,,,,,25.6,8,17.78
2007,DaimlerChrysler,RAM 1500 PICKUP 2WD,truck,348,N,345,L5,R,3500,9.6,3.55,27.4,Y,32,61,city,,,,,16.3,8,
2007,DaimlerChrysler,LIBERTY/CHEROKEE 2WD,truck,226,N,210,L4,R,4000,9.2,3.73,30.7,Y,31,61,highway,0.002,0.02,306,,29.1,6,15.03
2007,DaimlerChrysler,LIBERTY/CHEROKEE 2WD,truck,226,N,210,L4,R,4000,9.2,3.73,30.7,Y,31,61,city,0.034,0.37,472,0.03,18.8,6,
2007,DaimlerChrysler,LIBERTY/CHEROKEE 4WD,truck,226,N,210,L4,4,4250,9.2,3.73,31.2,Y,31,61,highway,0.003,0.04,317,,28,6,14.31
2007,DaimlerChrysler,LIBERTY/CHEROKEE 4WD,truck,226,N,210,L4,4,4250,9.2,3.73,31.2,Y,31,61,city,0.048,0.57,475,0.04,18.7,6,
2007,DaimlerChrysler,PT CRUISER,truck,148,N,220,L4,F,3625,9.5,2.69,37.3,Y,31,61,highway,0.002,0.03,260,,34.1,4,15.56
2007,DaimlerChrysler,PT CRUISER,truck,148,N,220,L4,F,3625,9.5,2.69,37.3,Y,31,61,city,0.049,0.5,384,0.03,23,4,15.56
2007,DaimlerChrysler,PT CRUISER,truck,148,N,220,M4,F,3625,9.5,2.9,40.2,Y,31,61,highway,0.004,0.06,254,,34.9,4,16.19
2007,DaimlerChrysler,PT CRUISER,truck,148,N,220,M4,F,3625,9.5,2.9,40.2,Y,31,61,city,0.052,0.78,351,0.03,25.2,4,16.19
2007,DaimlerChrysler,PT CRUISER,truck,148,N,220,M4,F,3625,9.5,2.9,40.2,Y,31,61,city,0.054,0.75,351,0.06,25.2,4,16.19
2007,DaimlerChrysler,CARAVAN 2WD,truck,148,N,150,L4,F,4250,9.4,2.69,34.9,Y,31,61,highway,0,0.09,262,,33.8,6,18.05
2007,DaimlerChrysler,CARAVAN 2WD,truck,148,N,150,L4,F,4250,9.4,2.69,34.9,Y,31,61,highway,0.004,0.08,266,,33.3,6,18.05
2007,DaimlerChrysler,CARAVAN 2WD,truck,148,N,150,L4,F,4250,9.4,2.69,34.9,Y,31,61,city,0.04,0.58,405,0.01,21.8,6,
2007,DaimlerChrysler,CARAVAN 2WD,truck,201,N,180,L4,F,4500,9.3,2.49,32.3,Y,31,61,highway,0.014,0.11,274,,32.5,6,18.71
2007,DaimlerChrysler,CARAVAN 2WD,truck,201,N,180,L4,F,4500,9.3,2.49,32.3,Y,31,61,city,0.035,0.47,437,0.01,20.3,6,18.71
2007,DaimlerChrysler,CARAVAN 2WD,truck,201,N,180,L4,F,4250,9.3,2.49,32.3,Y,31,61,highway,0.013,0.1,264,,33.6,6,18.05
2007,DaimlerChrysler,CARAVAN 2WD,truck,201,N,180,L4,F,4250,9.3,2.49,32.3,Y,31,61,highway,0.014,0.09,260,,34.1,6,18.05
2007,DaimlerChrysler,CARAVAN 2WD,truck,201,N,180,L4,F,4250,9.3,2.49,32.3,Y,31,61,city,0.035,0.42,413,0.01,21.4,6,18.05
